date,open,close,low,high,volume
2009-08-19,98.31,76.8826139418513,98.21,100.3,192322758.0
2009-08-20,100.09,77.674821748575,99.87,101.22,174019754.0
2009-08-21,101.82,79.1977066585877,101.62,103.13,224481712.0
2009-08-24,103.39,79.1900153206583,102.59,103.95,191086298.0
2009-08-25,103.37,79.3438420792455,102.94,104.26,214741611.0
2009-08-26,102.84,79.3515334171748,102.49,103.64,194362184.0
2009-08-27,103.11,79.5284341895501,101.94,103.72,195919237.0
2009-08-28,104.23,79.5130515136913,102.67,104.35,146968559.0
2009-08-31,102.37,78.8054484241905,101.79,102.58,175920166.0
2009-09-01,101.95,77.0672060521559,99.99,103.24,321139674.0
2009-09-02,99.78,76.7749352108403,99.57,100.44,171595734.0
2009-09-03,100.4,77.4133162589769,99.59,100.77,143353943.0
2009-09-04,100.85,78.4977949070162,100.55,102.09,142610925.0
2009-09-08,103.0,79.1746326447996,102.39,103.05,132787933.0
2009-09-09,103.12,79.7822483412188,102.8,104.08,154517727.0
2009-09-10,103.8,80.5975301617307,103.22,104.86,162734139.0
2009-09-11,104.99,80.5821474858719,104.28,105.3,152271892.0
2009-09-14,103.88,80.9744057202691,103.15,105.46,149475433.0
2009-09-15,105.45,81.3128245891609,104.76,106.11,196641230.0
2009-09-16,106.1,82.5434386578579,105.73,107.34,206052265.0
2009-09-17,107.17,82.4203772509882,106.57,108.06,229170848.0
2009-09-18,107.15,82.4729321630595,106.36,107.16,153772521.0
2009-09-21,105.89,82.2642768811627,105.66,107.0,151779803.0
2009-09-22,107.08,82.743411232185,106.6,107.37,142758309.0
2009-09-23,107.32,82.0556215992659,105.99,108.03,225779284.0
2009-09-24,106.41,81.1514487110465,104.55,106.64,228505460.0
2009-09-25,104.78,80.7186822004457,104.09,105.36,204011044.0
2009-09-28,104.85,82.1638132269161,104.83,106.55,118163102.0
2009-09-29,106.51,81.9165180780014,105.78,107.02,133557970.0
2009-09-30,106.36,81.5996711684544,104.62,106.46,254033114.0
2009-10-01,103.0,79.5749421367152,102.95,105.73,281762734.0
2009-10-02,102.02,79.2039994133431,101.99,103.1,224706451.0
2009-10-05,102.9,80.3863793440916,102.6,104.32,149790746.0
2009-10-06,104.77,81.5378473812258,104.71,106.11,202430282.0
2009-10-07,105.27,81.7619586099297,105.07,105.91,158928504.0
2009-10-08,106.55,82.3879244556201,105.85,107.17,183181713.0
2009-10-09,106.64,82.8902427268531,106.36,107.26,134971477.0
2009-10-12,107.76,83.2148176098037,107.28,108.09,117910827.0
2009-10-13,107.39,83.0448021949248,106.76,107.71,157418511.0
2009-10-14,108.72,84.4744772745881,107.42,109.42,191341839.0
2009-10-15,108.78,84.7835962107315,108.73,109.71,173793776.0
2009-10-16,108.8,84.1499023916375,108.23,109.27,192006233.0
2009-10-19,109.07,84.8454199979601,108.73,110.13,159347056.0
2009-10-20,109.95,84.3971975405522,108.68,109.99,180823274.0
2009-10-21,109.04,83.6398561470009,108.15,110.31,225309382.0
2009-10-22,108.19,84.4899332213952,107.5,109.68,238188816.0
2009-10-23,109.69,83.5239365459471,107.63,109.76,239925670.0
2009-10-26,108.2,82.6197636577277,106.61,109.31,241662450.0
2009-10-27,107.03,82.241092960952,106.16,107.39,252540139.0
2009-10-28,106.15,80.6877703068314,104.35,106.48,248531297.0
2009-10-29,105.19,82.4188363492345,104.94,106.86,198013284.0
2009-10-30,106.3,80.0308925675267,103.44,106.62,325534258.0
2009-11-02,104.13,80.6182185461991,103.08,105.41,254151475.0
2009-11-03,103.74,80.8732416685174,103.54,104.8,228290890.0
2009-11-04,105.51,81.0818969504142,104.65,106.33,247439191.0
2009-11-05,105.66,82.5733958173061,105.44,106.88,179810733.0
2009-11-06,106.26,82.7897790726065,106.05,107.4,170909597.0
2009-11-09,107.95,84.6754045830813,107.87,109.63,159329968.0
2009-11-10,109.31,84.6908605298885,108.97,109.93,171641411.0
2009-11-11,110.31,85.1236270404892,109.62,110.82,169316202.0
2009-11-12,110.0,84.2580940192877,108.75,110.57,157056118.0
2009-11-13,109.31,84.7140444500992,108.75,110.09,150936223.0
2009-11-16,110.38,85.9427922212692,110.32,111.69,210844976.0
2009-11-17,110.92,86.0432558755158,110.5,111.39,146909664.0
2009-11-18,111.26,85.9891600616907,110.57,111.43,156306393.0
2009-11-19,110.51,84.8686039181709,109.13,111.31,208639978.0
2009-11-20,109.25,84.5672129554311,109.01,109.76,134167825.0
2009-11-23,110.72,85.6414012585294,110.6,111.74,147903660.0
2009-11-24,111.0,85.7727768063904,110.01,111.2,138293830.0
2009-11-25,111.17,86.0741677691302,110.82,111.5,109564770.0
2009-11-27,108.4,84.6754045830813,108.29,110.32,126001795.0
2009-11-30,109.48,84.9613395990139,108.12,110.2,160662425.0
2009-12-01,110.92,86.0123439819015,110.73,111.66,159532424.0
2009-12-02,111.28,85.9737041148836,110.92,112.01,131843464.0
2009-12-03,111.55,85.3013704287717,110.29,112.18,167038303.0
2009-12-04,111.84,85.7882327531975,110.04,112.38,274875662.0
2009-12-07,110.91,85.6568572053366,110.49,111.53,127766350.0
2009-12-08,110.04,84.7063164766956,109.27,110.77,169715623.0
2009-12-09,109.58,85.0231633862426,109.02,110.18,154961652.0
2009-12-10,110.7,85.5022977372649,110.45,111.12,137957786.0
2009-12-11,111.11,85.8655124872334,110.61,111.36,124798122.0
2009-12-14,111.87,86.4528384659058,111.13,112.0,106654631.0
2009-12-15,111.46,86.0509838489194,111.0,111.92,120349844.0
2009-12-16,111.8,86.1823593967804,111.27,112.13,155069441.0
2009-12-17,110.72,85.1468109607,110.08,110.93,183277623.0
2009-12-18,110.2,85.6260921432169,109.28,110.3,172641677.0
2009-12-21,110.76,86.4962602150834,110.76,111.7,117939912.0
2009-12-22,111.57,86.8070345264642,111.43,111.97,91672192.0
2009-12-23,112.0,86.9779603977237,111.5,112.11,111740397.0
2009-12-24,112.19,87.3897363603034,112.0,112.6,39677470.0
2009-12-28,112.9,87.5762009471319,112.32,112.99,87374107.0
2009-12-29,113.01,87.4518912225796,112.55,113.03,80506177.0
2009-12-30,112.23,87.4208137914415,112.17,112.65,72969976.0
2009-12-31,112.77,86.5817231507131,111.39,112.8,90153924.0
2010-01-04,112.37,88.0501317719878,111.51,113.39,118857369.0
2010-01-05,113.26,88.2832125055234,112.85,113.68,111519230.0
2010-01-06,113.52,88.3453673677996,113.43,113.99,116017127.0
2010-01-07,113.5,88.7182965414567,113.18,114.33,130502017.0
2010-01-08,113.89,89.0135321372685,113.66,114.62,126357911.0
2010-01-11,115.08,89.1378418618208,114.24,115.13,105905179.0
2010-01-12,113.97,88.306520578877,113.22,114.21,166498092.0
2010-01-13,113.95,89.0523789261911,113.37,114.94,161730350.0
2010-01-14,114.49,89.2932290175113,114.42,115.14,115646960.0
2010-01-15,114.73,88.2909818633079,113.2,114.84,212252769.0
2010-01-19,113.62,89.3942306687101,113.59,115.13,138671890.0
2010-01-20,114.28,88.485215807921,112.98,114.45,216330645.0
2010-01-21,113.92,86.7837264531107,111.56,114.27,344747028.0
2010-01-22,111.2,84.8491563647647,109.09,111.74,345627282.0
2010-01-25,110.21,85.2842404006979,109.41,110.41,186751367.0
2010-01-26,109.34,84.9268499426099,109.04,110.47,210788669.0
2010-01-27,109.17,85.3308565474051,108.33,110.08,271482263.0
2010-01-28,110.19,84.3519174665553,107.91,110.25,315523641.0
2010-01-29,109.04,83.4351332479817,107.22,109.8,310523229.0
2010-02-01,108.15,84.7326159979969,107.5,109.07,187376305.0
2010-02-02,109.26,85.7581712255538,108.88,110.59,216202000.0
2010-02-03,109.88,85.3308565474051,109.51,110.48,172541928.0
2010-02-04,108.98,82.6970442584521,106.42,109.03,356204273.0
2010-02-05,106.56,82.8679701297116,104.58,106.88,493483874.0
2010-02-08,106.74,82.2697295803034,105.81,107.33,223943088.0
2010-02-09,107.13,83.3030541656448,106.27,108.15,337698759.0
2010-02-10,107.05,83.1398976521699,106.11,107.6,240337447.0
2010-02-11,106.87,84.0100657240363,106.25,108.25,223348428.0
2010-02-12,106.99,83.9401415039756,106.51,108.1,304335521.0
2010-02-16,108.86,85.2609323273444,107.82,109.85,159025359.0
2010-02-17,110.27,85.6649389321395,109.74,110.41,168609976.0
2010-02-18,110.08,86.1699471881334,110.04,111.14,192806015.0
2010-02-19,110.62,86.3486424171774,110.36,111.57,215567204.0
2010-02-22,111.55,86.3641811327465,110.83,111.58,132148949.0
